image_name,x_min,y_min,x_max,y_max,class_name
./data/data_contrast_before/Image/Others/6054-000130-1.jpg,2519,144,2626,188,Slag
./data/data_contrast_before/Image/Others/6054-000130-1-2.jpg,325,346,359,374,Porosity
./data/data_contrast_before/Image/Others/6054-000130-1-2.jpg,638,293,727,332,Slag
./data/data_contrast_before/Image/Others/6054-000134-1-1.jpg,469,227,584,313,Slag
./data/data_contrast_before/Image/Others/6054-000134-1-2.jpg,963,176,1015,237,Others
./data/data_contrast_before/Image/Others/6054-001180-A1-1.jpg,950,267,1037,301,Slag
./data/data_contrast_before/Image/Others/6054-001180-A1-1.jpg,153,301,747,341,Slag
./data/data_contrast_before/Image/Others/6054-001180-A1-2.jpg,2412,244,2712,277,Slag
./data/data_contrast_before/Image/Others/6054-001180-A1-2.jpg,2382,293,2532,332,Slag
./data/data_contrast_before/Image/Others/6054-001180-A1-2.jpg,1681,286,2235,327,Slag
./data/data_contrast_before/Image/Others/6054-001228-A1-1.jpg,1555,192,2481,239,Slag
./data/data_contrast_before/Image/Others/6054-001228-A1-1.jpg,751,201,1091,256,Slag
./data/data_contrast_before/Image/Others/6054-001401-1.jpg,1577,527,1690,569,Slag
./data/data_contrast_before/Image/Others/6054-001409-1.jpg,4543,294,4580,332,Porosity
./data/data_contrast_before/Image/Others/6054-001409-1.jpg,4657,268,4938,334,Slag
./data/data_contrast_before/Image/Others/6054-001409-1.jpg,3136,414,3255,448,Slag
./data/data_contrast_before/Image/Others/6054-001409-1.jpg,1065,361,1106,392,Porosity
./data/data_contrast_before/Image/Others/6054-001409-1.jpg,3324,379,3679,425,Slag
./data/data_contrast_before/Image/Others/6054-001409-1.jpg,3998,345,4044,381,Porosity
./data/data_contrast_before/Image/Others/6054-001415-1.jpg,3320,415,3452,463,Slag
./data/data_contrast_before/Image/Others/6054-001415-1.jpg,2198,396,2252,451,Porosity
./data/data_contrast_before/Image/Others/6054-001415-1.jpg,1513,393,1692,457,Slag
./data/data_contrast_before/Image/Others/6054-001417-1.jpg,4560,436,5002,478,Slag
./data/data_contrast_before/Image/Others/6054-001417-1.jpg,3678,417,3752,456,Porosity
./data/data_contrast_before/Image/Others/6054-001417-1.jpg,3883,448,4489,482,Slag
./data/data_contrast_before/Image/Others/6054-001417-1.jpg,446,296,880,338,Slag
./data/data_contrast_before/Image/Others/6054-001417-1.jpg,988,311,1274,365,Slag
./data/data_contrast_before/Image/Others/6054-001417-1.jpg,1440,329,1822,389,Slag
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,541,170,596,205,Porosity
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,1947,475,2093,518,Others
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,3142,539,3170,567,Porosity
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,3260,455,4031,502,Slag
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,2701,468,2905,503,Slag
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,1383,361,1461,395,Slag
./data/data_contrast_before/Image/Others/6054-001417-2.jpg,1497,370,1660,415,Slag
./data/data_contrast_before/Image/Others/6054-001535-1.jpg,2586,454,2717,500,Slag
./data/data_contrast_before/Image/Others/6054-001706-A1-1-1.jpg,1852,253,1971,291,Slag
./data/data_contrast_before/Image/Others/6054-001706-A1-1-1.jpg,656,268,1479,303,Slag
