dataset,image_number,image_name,bndbox,labels,img_shape
Porosity,964,h239-2.jpg,"[[636, 172, 769, 205]]",[2],"['2352', '412']"
Porosity,1063,h49-2.jpg,"[[642, 202, 681, 240]]",[1],"['2282', '469']"
Porosity,794,h185-2.jpg,"[[3427, 237, 3469, 277]]",[1],"['4645', '730']"
Porosity,842,h200-3.jpg,"[[1772, 224, 1807, 254]]",[1],"['2634', '475']"
Others,311,j33-3.jpg,"[[1381, 224, 1603, 250]]",[2],"['2763', '504']"
Others,182,j158-3.jpg,"[[1547, 159, 1639, 186]]",[2],"['2551', '420']"
Others,324,j38-1.jpg,"[[1039, 174, 1149, 195], [1170, 172, 1210, 202]]","[2, 2]","['2908', '376']"
Others,25,j107-2.jpg,"[[1474, 142, 1972, 167], [976, 136, 1183, 159], [1191, 135, 1322, 159]]","[2, 2, 2]","['2801', '352']"
Others,384,j57-1.jpg,"[[369, 197, 536, 226], [609, 211, 697, 229], [724, 212, 770, 231], [829, 225, 1174, 243], [1264, 232, 1391, 249], [1451, 214, 1727, 246], [1764, 214, 1943, 233], [1992, 207, 2101, 228], [2138, 186, 2457, 220], [2586, 167, 2876, 198]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['2944', '489']"
Porosity,598,h125-2.jpg,"[[1253, 106, 1276, 128], [1587, 104, 1610, 133]]","[1, 1]","['2713', '493']"
Porosity,619,h131-3.jpg,"[[759, 175, 789, 199]]",[1],"['1223', '448']"
Others,279,j19-1.jpg,"[[1905, 214, 2476, 239], [1573, 212, 1889, 233], [982, 201, 1104, 240]]","[2, 2, 2]","['2851', '408']"
Porosity,988,h25-2.jpg,"[[3091, 248, 3130, 288], [4484, 379, 4510, 407], [1005, 311, 1031, 336]]","[1, 1, 1]","['4900', '700']"
Porosity,784,h182-1.jpg,"[[425, 357, 472, 387]]",[1],"['2279', '623']"
Others,121,j136-2.jpg,"[[277, 56, 299, 75], [1042, 78, 1141, 104]]","[1, 2]","['1418', '304']"
Others,483,j9-1.jpg,"[[2229, 254, 2838, 291]]",[2],"['2954', '476']"
Porosity,1184,h87-2.jpg,"[[1857, 181, 1913, 207]]",[2],"['2924', '501']"
Others,253,j180-2.jpg,"[[1537, 164, 1984, 206], [2469, 206, 2506, 244], [2049, 177, 2071, 194]]","[2, 1, 1]","['2902', '511']"
Porosity,748,h171-2.jpg,"[[1263, 193, 1379, 235]]",[2],"['2233', '418']"
Porosity,1159,h79-2.jpg,"[[954, 216, 983, 241]]",[1],"['2894', '504']"
Porosity,896,h217-2.jpg,"[[605, 158, 631, 180], [694, 163, 716, 179]]","[1, 1]","['2925', '465']"
Porosity,829,h196-2.jpg,"[[1187, 190, 1214, 219]]",[1],"['2443', '361']"
Others,391,j59-2.jpg,"[[1906, 171, 1968, 208], [2706, 305, 2864, 339]]","[0, 2]","['2989', '519']"
Others,256,j181-1.jpg,"[[353, 102, 366, 119], [469, 76, 482, 94]]","[1, 1]","['1463', '255']"
Porosity,815,h192-1.jpg,"[[1700, 271, 1730, 298], [2061, 247, 2219, 328]]","[1, 0]","['2873', '437']"
Porosity,1111,h64-2.jpg,"[[2498, 406, 2524, 434], [3213, 393, 3243, 426]]","[1, 1]","['4478', '866']"
Slag,1252,s19-3.jpg,"[[1540, 171, 1747, 216], [1281, 180, 1442, 211], [736, 176, 962, 211]]","[2, 2, 2]","['2724', '520']"
Porosity,833,h197-3.jpg,"[[1035, 166, 1232, 274]]",[0],"['1383', '492']"
Others,26,j107-3.jpg,"[[812, 142, 1341, 172], [579, 131, 716, 162], [1527, 140, 1618, 157], [1665, 132, 1790, 150], [1827, 125, 1936, 145]]","[2, 2, 2, 2, 2]","['2801', '351']"
Porosity,1006,h31-2.jpg,"[[1208, 183, 1240, 210]]",[1],"['1910', '500']"
Porosity,955,h236-2.jpg,"[[854, 75, 892, 109]]",[1],"['1373', '379']"
Porosity,630,h134-3.jpg,"[[655, 267, 691, 292], [2259, 216, 2924, 240]]","[1, 2]","['2933', '490']"
Porosity,620,h-13-2.jpg,"[[1905, 58, 1938, 92]]",[1],"['4620', '788']"
Porosity,666,h145-3.jpg,"[[1673, 125, 1705, 152]]",[1],"['2697', '408']"
Porosity,517,h101-3.jpg,"[[664, 189, 1072, 227], [2606, 184, 2635, 211]]","[2, 1]","['2882', '438']"
Others,30,j109-1.jpg,"[[1687, 221, 2103, 244]]",[2],"['2821', '376']"
Others,49,j114-1.jpg,"[[1581, 210, 1896, 262]]",[2],"['2983', '485']"
Porosity,553,h112-1.jpg,"[[705, 379, 748, 406]]",[1],"['1917', '529']"
Porosity,739,h168-3.jpg,"[[306, 214, 855, 244], [915, 203, 1202, 234]]","[2, 2]","['2560', '542']"
Porosity,1015,h33-3.jpg,"[[1308, 233, 1324, 248]]",[1],"['2553', '366']"
Others,331,j40-2.jpg,"[[1304, 272, 1531, 334]]",[0],"['2234', '656']"
Others,132,j140-1.jpg,"[[1530, 319, 1618, 338], [906, 271, 1481, 311]]","[2, 2]","['2910', '539']"
Others,243,j177-1.jpg,"[[891, 152, 1063, 201]]",[0],"['1753', '531']"
Others,477,j89-1.jpg,"[[1654, 158, 1786, 191]]",[2],"['2947', '351']"
Porosity,889,h215-1.jpg,"[[1299, 335, 1350, 378]]",[1],"['2656', '553']"
Others,130,j139-2.jpg,"[[1721, 228, 1841, 287]]",[0],"['2925', '454']"
Others,27,j108-1.jpg,"[[1774, 158, 1976, 201]]",[2],"['2850', '375']"
Porosity,1170,h82-2.jpg,"[[2329, 228, 2428, 249], [2637, 237, 2727, 257]]","[2, 2]","['2965', '500']"
Others,158,j151-2.jpg,"[[395, 39, 502, 76], [1016, 70, 1185, 111]]","[0, 0]","['1485', '458']"
Others,459,j83-1.jpg,"[[794, 286, 1038, 325]]",[2],"['2937', '435']"
Others,271,j185-2.jpg,"[[562, 191, 650, 219], [777, 192, 828, 227]]","[2, 2]","['1563', '434']"
Slag,1313,s7-3.jpg,"[[2384, 231, 2465, 257], [2480, 235, 2560, 259], [1663, 222, 1857, 267], [1462, 218, 1542, 239], [997, 197, 1091, 222], [360, 185, 684, 220], [828, 198, 909, 220], [152, 176, 221, 200], [253, 186, 323, 209]]","[2, 2, 2, 2, 2, 2, 2, 2, 2]","['3018', '451']"
Porosity,741,h169-2.jpg,"[[2198, 325, 2916, 363]]",[2],"['2948', '534']"
Others,40,j111-3.jpg,"[[1885, 157, 2304, 193]]",[2],"['2927', '366']"
Porosity,1135,h-7-2.jpg,"[[1380, 204, 1511, 219], [948, 148, 972, 169], [1325, 197, 1354, 215], [1250, 199, 1286, 213]]","[2, 1, 2, 2]","['2943', '378']"
Porosity,548,h-11-1.jpg,"[[2995, 475, 3041, 517], [4673, 526, 4693, 554]]","[1, 1]","['4943', '783']"
Others,426,j70-1.jpg,"[[1101, 215, 1339, 242], [1595, 240, 1739, 276], [504, 203, 1060, 240]]","[2, 2, 2]","['2945', '422']"
Porosity,779,h18-1.jpg,"[[1273, 234, 1341, 263], [2814, 384, 2831, 400]]","[1, 1]","['3016', '566']"
Others,285,j2-1.jpg,"[[2217, 237, 2325, 273], [2595, 292, 2621, 323]]","[2, 1]","['2898', '419']"
Porosity,787,h183-1.jpg,"[[543, 380, 576, 407]]",[1],"['2312', '739']"
Porosity,1171,h82-3.jpg,"[[223, 234, 338, 259], [579, 229, 643, 248]]","[2, 2]","['2965', '500']"
Porosity,840,h200-1.jpg,"[[1773, 265, 1799, 289]]",[1],"['2906', '523']"
Porosity,1009,h32-1.jpg,"[[2497, 265, 2533, 296]]",[1],"['2886', '496']"
Porosity,813,h191-3.jpg,"[[1314, 181, 1384, 209]]",[2],"['1980', '458']"
Porosity,1071,h51-3.jpg,"[[1605, 178, 1665, 203]]",[2],"['2080', '607']"
Others,274,j186-2.jpg,"[[825, 183, 960, 212]]",[2],"['1681', '444']"
Others,499,j96-1.jpg,"[[489, 100, 729, 149], [1265, 165, 1326, 211]]","[2, 2]","['2976', '422']"
Porosity,1060,h48-2.jpg,"[[1911, 171, 1945, 200]]",[1],"['2551', '512']"
Others,370,j52-3.jpg,"[[680, 167, 875, 187], [741, 219, 911, 247], [996, 186, 1027, 213], [1395, 188, 1473, 205], [2091, 175, 2181, 200], [2427, 170, 2477, 197]]","[2, 2, 1, 2, 2, 2]","['2925', '438']"
Porosity,520,h102-2.jpg,"[[951, 251, 984, 279]]",[1],"['1273', '476']"
Others,294,j27-1.jpg,"[[2109, 191, 2166, 215]]",[2],"['2959', '363']"
Others,312,j34-1.jpg,"[[2468, 370, 2560, 400], [1015, 301, 1273, 338]]","[2, 2]","['2983', '555']"
Others,377,j54-3.jpg,"[[2449, 224, 2688, 256], [790, 233, 1186, 278]]","[2, 0]","['2985', '518']"
Porosity,676,h149-3.jpg,"[[2420, 122, 2468, 140]]",[2],"['2954', '447']"
Others,236,j174-3.jpg,"[[1676, 193, 2569, 249], [1224, 197, 1414, 245], [1443, 201, 1552, 235], [761, 220, 1078, 283]]","[2, 2, 2, 2]","['2834', '515']"
Porosity,1208,h94-3.jpg,"[[935, 199, 957, 228], [1041, 197, 1074, 224]]","[1, 1]","['2356', '387']"
Porosity,901,h219-1.jpg,"[[1044, 236, 1065, 254]]",[1],"['2964', '389']"
Others,402,j62-2.jpg,"[[221, 264, 338, 296], [371, 264, 548, 297], [862, 235, 1015, 297], [1130, 228, 1255, 255], [1580, 228, 1721, 263], [2014, 241, 2169, 316]]","[2, 2, 0, 2, 2, 0]","['2964', '431']"
Others,349,j46-2.jpg,"[[2018, 153, 2131, 191], [2175, 165, 2278, 202], [2381, 173, 2531, 201], [2627, 193, 2865, 236], [1037, 112, 1113, 137], [252, 121, 332, 151], [442, 118, 547, 143], [5, 146, 1647, 185]]","[2, 2, 2, 2, 2, 2, 2, 2]","['2934', '382']"
Porosity,867,h208-1.jpg,"[[919, 285, 955, 318]]",[1],"['1353', '478']"
Slag,1291,s32-1.jpg,"[[433, 248, 601, 296], [943, 352, 1006, 380], [1014, 356, 1055, 377]]","[2, 2, 2]","['1522', '579']"
Porosity,1079,h54-2.jpg,"[[364, 152, 384, 172]]",[1],"['1256', '421']"
Porosity,907,h220-3.jpg,"[[399, 114, 419, 135]]",[1],"['1368', '306']"
Others,117,j135-1.jpg,"[[824, 191, 900, 211]]",[2],"['1303', '367']"
Porosity,838,h199-2.jpg,"[[775, 238, 790, 256], [881, 227, 899, 244], [996, 230, 1009, 245], [799, 231, 875, 243], [911, 224, 986, 233]]","[1, 1, 1, 2, 2]","['2755', '472']"
Porosity,554,h112-2.jpg,"[[1162, 119, 1203, 146]]",[1],"['1917', '529']"
Porosity,700,h156-3.jpg,"[[1512, 172, 1615, 192]]",[2],"['2532', '373']"
Porosity,595,h124-2.jpg,"[[1640, 199, 1669, 234]]",[1],"['2760', '427']"
Porosity,569,h117-1.jpg,"[[1040, 302, 1081, 338]]",[1],"['2855', '465']"
