dataset,image_number,image_name,bndbox,labels,img_shape
Porosity,1583,h33-2.jpg,"[[1231, 234, 1246, 246]]",[1],"['2553', '366']"
Others,160,6054-038883-1.jpg,"[[1245, 288, 1374, 337]]",[2],"['2579', '768']"
Porosity,2009,s56-2.jpg,"[[1056, 212, 1078, 236]]",[1],"['1414', '473']"
Porosity,2120,s93-2.jpg,"[[1012, 167, 1038, 195]]",[1],"['1454', '380']"
Porosity,1145,h119-1.jpg,"[[187, 294, 389, 330]]",[2],"['2987', '530']"
Others,551,j57-1.jpg,"[[369, 197, 536, 226], [609, 211, 697, 229], [724, 212, 770, 231], [829, 225, 1174, 243], [1264, 232, 1391, 249], [1451, 214, 1727, 246], [1764, 214, 1943, 233], [1992, 207, 2101, 228], [2138, 186, 2457, 220], [2586, 167, 2876, 198]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['2944', '489']"
Porosity,2103,s88-2.jpg,"[[619, 187, 657, 222]]",[1],"['1784', '485']"
Others,343,j156-3.jpg,"[[181, 198, 233, 233]]",[2],"['2620', '441']"
Porosity,2051,s72-2.jpg,"[[1033, 226, 1059, 253]]",[1],"['1897', '529']"
Others,29,6054-002474-A1-1.jpg,"[[1753, 208, 1803, 259], [1819, 228, 1932, 255]]","[1, 2]","['3046', '806']"
Porosity,1799,s102-3.jpg,[],[],"['1427', '377']"
Others,456,j23-2.jpg,"[[103, 200, 508, 239], [2205, 194, 2363, 253]]","[0, 0]","['2962', '406']"
Others,645,j89-2.jpg,"[[1166, 160, 1283, 188]]",[2],"['2946', '351']"
Porosity,690,6054-000315-1.jpg,[],[],"['5083', '1469']"
Others,138,6054-031127-1.jpg,"[[2387, 203, 2440, 238]]",[2],"['2666', '774']"
Slag,2188,s12-1.jpg,"[[620, 251, 700, 279], [273, 245, 386, 279], [1122, 247, 1180, 282], [1227, 250, 1438, 285]]","[2, 2, 1, 2]","['3090', '497']"
Slag,2202,s18-1.jpg,"[[133, 269, 239, 307], [256, 284, 439, 309], [1141, 255, 1232, 284]]","[2, 2, 2]","['2138', '515']"
Others,415,j178-3.jpg,"[[1256, 173, 1336, 213]]",[2],"['2567', '494']"
Porosity,923,6054-016497-1-1.jpg,"[[1143, 279, 1176, 305]]",[1],"['2989', '818']"
Porosity,1134,h115-2.jpg,"[[736, 124, 766, 161]]",[1],"['2327', '378']"
Porosity,1197,h134-1.jpg,"[[660, 200, 694, 226], [2256, 245, 2912, 276]]","[1, 2]","['2935', '490']"
Porosity,1488,h223-3.jpg,"[[1380, 143, 1837, 169]]",[2],"['2043', '397']"
Others,49,6054-002848-A1-3.jpg,"[[2766, 230, 2978, 268], [2608, 245, 2708, 273], [1995, 289, 2116, 318], [2277, 262, 2383, 293], [1409, 330, 1497, 357], [1529, 315, 1802, 354], [1876, 304, 1942, 332], [1165, 326, 1242, 362], [318, 328, 389, 353], [430, 330, 506, 363], [583, 325, 744, 363], [768, 326, 804, 359], [21, 322, 282, 350]]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['3045', '846']"
Porosity,838,6054-006186-2.jpg,"[[341, 317, 437, 344], [558, 316, 2205, 361]]","[2, 2]","['2592', '809']"
Porosity,936,6054-017686-1.jpg,"[[1899, 200, 1916, 214], [1744, 183, 1767, 204]]","[1, 1]","['3034', '806']"
Porosity,2061,s75-2.jpg,"[[861, 172, 892, 204], [819, 203, 850, 229], [932, 254, 954, 277]]","[1, 1, 1]","['1639', '486']"
Porosity,1708,h-7-3.jpg,"[[1430, 205, 1551, 226], [1580, 195, 1613, 215], [1647, 197, 1700, 222], [1970, 146, 1992, 164]]","[2, 2, 2, 1]","['2942', '378']"
Porosity,1670,h61-3.jpg,"[[871, 132, 898, 155]]",[1],"['2682', '473']"
Others,142,6054-035327-1.jpg,"[[385, 208, 601, 252]]",[2],"['2442', '776']"
Porosity,1141,h117-3.jpg,"[[706, 102, 756, 136]]",[1],"['2316', '414']"
Porosity,1866,s129-1.jpg,"[[530, 194, 556, 215]]",[1],"['1221', '390']"
Others,451,j20-3.jpg,"[[969, 177, 1414, 202], [1821, 181, 1849, 200]]","[2, 1]","['2916', '514']"
Porosity,1751,h86-1.jpg,[],[],"['2412', '534']"
Others,357,j161-1.jpg,"[[1227, 214, 1275, 242], [1317, 213, 1392, 243], [1020, 168, 1106, 190], [1139, 178, 1210, 199]]","[0, 0, 0, 0]","['2597', '356']"
Others,114,6054-015514-R1-1.jpg,"[[1687, 388, 1799, 418]]",[2],"['3042', '806']"
Porosity,1179,h129-2.jpg,"[[740, 299, 776, 329]]",[1],"['2238', '639']"
Porosity,754,6054-002836-1.jpg,"[[1922, 280, 2009, 299], [1130, 309, 1445, 330], [736, 311, 769, 336], [136, 310, 259, 330], [617, 317, 709, 336]]","[2, 2, 1, 2, 2]","['2328', '852']"
