dataset,image_number,image_name,bndbox,labels,img_shape
Others,5160,j29-1.jpg,"[[2387, 327, 3594, 426], [3592, 333, 3906, 393], [1652, 400, 1686, 421], [2283, 410, 2324, 439], [2336, 435, 2365, 461]]","[2, 2, 1, 1, 1]","['4741', '706']"
Others,4770,6054-006186-2.jpg,"[[577, 319, 689, 354], [819, 324, 1101, 370], [1371, 322, 1879, 380], [1917, 315, 2176, 365]]","[2, 2, 2, 2]","['3048', '812']"
Normal,3207,6054-002009-2.jpg,[],[3],[]
Normal,3806,6054-002208-2.jpg,[],[3],[]
Others,4996,j140-2.jpg,"[[1349, 203, 1511, 227]]",[2],"['2910', '539']"
Porosity,6717,s58-1.jpg,"[[624, 211, 654, 234]]",[1],"['1690', '444']"
Normal,3017,6054-001874-3.jpg,[],[3],[]
Normal,3551,6054-002112-1-3.jpg,[],[3],[]
Normal,87,6054-000056-1.jpg,[],[3],[]
Normal,701,6054-000224-2.jpg,[],[3],[]
Porosity,5920,h128-2.jpg,"[[1574, 291, 1615, 332]]",[1],"['2278', '704']"
Porosity,6693,s47-3.jpg,"[[466, 193, 585, 223]]",[2],"['1957', '378']"
Normal,163,6054-000084-1.jpg,[],[3],[]
Normal,11,6054-000029-2.jpg,[],[3],[]
Porosity,6581,s131-3.jpg,"[[1125, 311, 1158, 344]]",[1],"['2003', '782']"
Normal,1407,6054-000517-5-2.jpg,[],[3],[]
Normal,929,6054-000378-1.jpg,[],[3],[]
Normal,2283,6054-001582-2.jpg,[],[3],[]
Porosity,5702,6054-027669-1.jpg,"[[477, 224, 501, 242]]",[1],"['1802', '767']"
Normal,3019,6054-001876-1-2.jpg,[],[3],[]
Normal,4164,6054-002344-3.jpg,[],[3],[]
Normal,2686,6054-001727-3.jpg,[],[3],[]
Porosity,5778,6054-045100-2.jpg,"[[1414, 206, 1449, 236]]",[1],"['1939', '795']"
Normal,112,6054-000067-1.jpg,[],[3],[]
Porosity,5787,h-10-2.jpg,"[[1688, 235, 1720, 272]]",[1],"['2957', '475']"
Normal,311,6054-000105-1-2.jpg,[],[3],[]
Normal,363,6054-000135-1-2.jpg,[],[3],[]
Porosity,6190,h217-1.jpg,"[[2205, 281, 2226, 299], [2291, 288, 2316, 305]]","[1, 1]","['2925', '465']"
Normal,2759,6054-001758-1.jpg,[],[3],[]
Normal,3950,6054-002260-1-3.jpg,[],[3],[]
Normal,1172,6054-000465-3.jpg,[],[3],[]
Normal,2089,6054-001475-1.jpg,[],[3],[]
Others,4829,6054-031127-1.jpg,"[[2387, 203, 2440, 238]]",[2],"['2666', '774']"
Normal,409,6054-000161-A1-1.jpg,[],[3],[]
Normal,2592,6054-001672-2.jpg,[],[3],[]
Porosity,6005,h157-3.jpg,"[[843, 100, 883, 126]]",[1],"['1317', '308']"
Normal,2178,6054-001553-1.jpg,[],[3],[]
Porosity,6462,h88-2.jpg,"[[1490, 180, 1548, 201]]",[2],"['2256', '524']"
Others,4793,6054-011435-A1-1-1-1.jpg,"[[2820, 129, 2855, 162], [1953, 236, 2044, 265], [640, 310, 764, 348]]","[1, 2, 2]","['3062', '834']"
Normal,4020,6054-002300-1.jpg,[],[3],[]
Normal,3465,6054-002076-1.jpg,[],[3],[]
Normal,1641,6054-001252-3-1.jpg,[],[3],[]
Others,4875,j103-1.jpg,"[[1366, 200, 1781, 223]]",[2],"['2962', '473']"
Normal,4605,6054-002523-3.jpg,[],[3],[]
Normal,4267,6054-002388-5-1.jpg,[],[3],[]
Porosity,6059,h175-3.jpg,"[[1693, 183, 1719, 209], [213, 186, 232, 207]]","[1, 1]","['2787', '452']"
Others,5235,j54-1.jpg,"[[2404, 332, 2668, 368], [2109, 356, 2380, 392], [1928, 359, 2063, 382], [1839, 361, 1914, 380], [1320, 362, 1464, 377], [566, 315, 682, 334], [791, 335, 860, 356]]","[2, 0, 0, 0, 2, 2, 2]","['2986', '519']"
Porosity,5505,6054-003873-1.jpg,"[[735, 169, 883, 189]]",[2],"['1633', '803']"
Normal,3756,6054-002184-1.jpg,[],[3],[]
Porosity,6655,s34-3.jpg,"[[921, 90, 950, 115]]",[1],"['1429', '330']"
Porosity,6209,h222-2.jpg,"[[1420, 127, 1501, 145], [1551, 134, 1653, 155], [1711, 140, 1837, 163]]","[2, 2, 2]","['1991', '399']"
Normal,1447,6054-000533-3.jpg,[],[3],[]
Normal,4185,6054-002369-1-4.jpg,[],[3],[]
Normal,160,6054-000083-1.jpg,[],[3],[]
Normal,1004,6054-000402-1.jpg,[],[3],[]
Normal,763,6054-000240-3.jpg,[],[3],[]
Porosity,5617,6054-015514-1.jpg,"[[10, 324, 28, 336], [1762, 366, 1793, 389], [1900, 302, 1922, 321]]","[1, 1, 1]","['3008', '793']"
Normal,2273,6054-001573-2-2.jpg,[],[3],[]
Normal,773,6054-000245-1-1.jpg,[],[3],[]
Normal,2425,6054-001620-2-2.jpg,[],[3],[]
Normal,3946,6054-002259-2.jpg,[],[3],[]
Porosity,5801,h-15-1.jpg,"[[1922, 225, 1960, 263]]",[1],"['2853', '421']"
Porosity,5578,6054-009341-1-1.jpg,"[[1564, 302, 1594, 330]]",[1],"['2961', '810']"
Normal,4129,6054-002328-2.jpg,[],[3],[]
Normal,1968,6054-001434-3.jpg,[],[3],[]
Normal,3437,6054-002065-A1-1.jpg,[],[3],[]
Porosity,6382,h61-1.jpg,"[[988, 313, 1015, 341]]",[1],"['2936', '475']"
Others,4769,6054-006186-1.jpg,"[[336, 298, 497, 358], [1471, 306, 1576, 328], [1126, 346, 1366, 383]]","[2, 2, 2]","['3010', '808']"
Normal,431,6054-000162-5.jpg,[],[3],[]
Normal,1500,6054-001181-3.jpg,[],[3],[]
Normal,1294,6054-000476-2-2.jpg,[],[3],[]
Porosity,5573,6054-008757-A1R1-1.jpg,"[[2221, 176, 2247, 204]]",[1],"['3023', '802']"
Normal,3087,6054-001933-1-2.jpg,[],[3],[]
Slag,6871,6054-009348-2.jpg,"[[1405, 274, 1763, 337]]",[2],"['3006', '815']"
Others,4840,6054-036430-1.jpg,"[[1031, 229, 1518, 277]]",[2],"['2864', '782']"
Normal,3099,6054-001933-4.jpg,[],[3],[]
Porosity,6180,h212-3.jpg,"[[2089, 222, 2109, 243]]",[1],"['2443', '477']"
Normal,1222,6054-000473-3-2.jpg,[],[3],[]
Porosity,6507,s103-2.jpg,"[[1973, 243, 2007, 268]]",[1],"['2259', '541']"
Normal,4630,6054-002530-2.jpg,[],[3],[]
Normal,3288,6054-002025-3.jpg,[],[3],[]
Normal,3007,6054-001872-1-2.jpg,[],[3],[]
Porosity,6704,s53-3.jpg,"[[377, 190, 495, 209], [291, 107, 465, 146]]","[2, 0]","['1584', '426']"
Normal,2173,6054-001550-3.jpg,[],[3],[]
Normal,384,6054-000154-1-3.jpg,[],[3],[]
Normal,896,6054-000347-2.jpg,[],[3],[]
Porosity,5583,6054-009650-1.jpg,"[[1584, 338, 1632, 380]]",[1],"['2996', '823']"
Normal,326,6054-000106-2.jpg,[],[3],[]
Normal,3484,6054-002096-5-2.jpg,[],[3],[]
Normal,268,6054-000098-2-2.jpg,[],[3],[]
Normal,2978,6054-001861-3-1.jpg,[],[3],[]
Porosity,6757,s73-1.jpg,"[[1126, 137, 1142, 154], [912, 145, 954, 178]]","[1, 1]","['1808', '427']"
Normal,479,6054-000167-3.jpg,[],[3],[]
Porosity,5481,6054-003094-A1-1.jpg,"[[2820, 466, 2861, 492], [1889, 403, 3618, 464]]","[1, 2]","['5096', '1366']"
Slag,6863,6054-005296-R1-1.jpg,"[[1197, 346, 1337, 375], [485, 327, 638, 369]]","[2, 2]","['3062', '823']"
Normal,1219,6054-000473-2-3.jpg,[],[3],[]
Normal,99,6054-000059-1.jpg,[],[3],[]
Porosity,5703,6054-027671-1.jpg,"[[1923, 146, 1959, 181]]",[1],"['3001', '795']"
Porosity,6467,h90-1.jpg,"[[397, 75, 415, 93], [891, 150, 935, 162], [2720, 213, 2740, 230], [2910, 259, 2923, 270]]","[1, 2, 1, 1]","['2950', '370']"
Normal,4293,6054-002397-A1-1-3.jpg,[],[3],[]
Porosity,6572,s129-3.jpg,"[[530, 175, 557, 193]]",[1],"['1221', '390']"
Normal,531,6054-000180-1-1.jpg,[],[3],[]
Normal,4456,6054-002455-A2-1-1-1.jpg,[],[3],[]
Normal,2897,6054-001838-3.jpg,[],[3],[]
Porosity,6419,h73-2.jpg,"[[732, 138, 784, 184]]",[1],"['2046', '831']"
Others,4967,j130-3.jpg,"[[648, 173, 708, 192]]",[2],"['1413', '325']"
Porosity,5521,6054-005229-1.jpg,"[[1492, 315, 1511, 332], [2141, 258, 2164, 275], [2703, 317, 2726, 334]]","[1, 1, 1]","['3038', '837']"
Normal,874,6054-000321-1.jpg,[],[3],[]
Normal,1365,6054-000508-2.jpg,[],[3],[]
Normal,200,6054-000091-4-3.jpg,[],[3],[]
Normal,2783,6054-001770-4.jpg,[],[3],[]
Normal,2134,6054-001527-2.jpg,[],[3],[]
Porosity,6361,h53-3.jpg,"[[1221, 110, 1249, 137]]",[1],"['1964', '452']"
Normal,3210,6054-002009-3-3.jpg,[],[3],[]
Normal,3502,6054-002098-2-1.jpg,[],[3],[]
Normal,1043,6054-000409-4.jpg,[],[3],[]
Porosity,5478,6054-003094-2.jpg,"[[1050, 281, 1061, 293]]",[1],"['2514', '861']"
Normal,2788,6054-001772-1.jpg,[],[3],[]
Normal,573,6054-000188-4-2.jpg,[],[3],[]
Normal,2215,6054-001562-1-1.jpg,[],[3],[]
Normal,3115,6054-001936-1.jpg,[],[3],[]
Normal,1396,6054-000517-1-1.jpg,[],[3],[]
Normal,4589,6054-002515-3.jpg,[],[3],[]
Porosity,6119,h194-2.jpg,"[[343, 241, 768, 271]]",[2],"['1336', '453']"
Normal,1916,6054-001424-1.jpg,[],[3],[]
Porosity,5913,h126-2.jpg,"[[745, 186, 826, 208]]",[2],"['1402', '452']"
Others,5181,j37-1.jpg,"[[2181, 266, 2450, 301], [2544, 255, 2850, 298]]","[2, 2]","['2956', '471']"
Normal,749,6054-000230-2-3.jpg,[],[3],[]
Normal,4382,6054-002422-2.jpg,[],[3],[]
Normal,2488,6054-001631-3.jpg,[],[3],[]
Normal,288,6054-000100-3.jpg,[],[3],[]
Normal,4257,6054-002388-2-1.jpg,[],[3],[]
Normal,2424,6054-001620-2-1.jpg,[],[3],[]
Slag,6883,s1-1.jpg,"[[1071, 290, 1230, 320], [1559, 298, 1788, 351], [313, 260, 445, 301]]","[2, 2, 2]","['3005', '572']"
Porosity,5744,6054-037712-2-1.jpg,[],[3],"['2802', '799']"
Normal,4137,6054-002334-1.jpg,[],[3],[]
Porosity,6536,s112-2.jpg,"[[1318, 193, 1342, 211]]",[1],"['1544', '316']"
Normal,1327,6054-000493-2-3.jpg,[],[3],[]
Others,5284,j69-2.jpg,"[[2274, 197, 2454, 235], [867, 124, 1191, 192], [567, 137, 805, 198]]","[2, 0, 0]","['2948', '445']"
Normal,3508,6054-002098-3-3.jpg,[],[3],[]
Normal,899,6054-000348-1.jpg,[],[3],[]
Normal,969,6054-000389-1-2.jpg,[],[3],[]
Porosity,6204,h220-3.jpg,"[[399, 114, 419, 135]]",[1],"['1368', '306']"
